source,target,weight_shared_papers,topics,papers
Daya Guo,Kai Dong,3,主模型、代码,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2
Daya Guo,Liyue Zhang,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V2
Daya Guo,Peiyi Wang,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath
Daya Guo,Runxin Xu,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath
Daya Guo,Shirong Ma,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V2
Daya Guo,Wenfeng Liang,3,主模型、代码,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2
Daya Guo,Wenjun Gao,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V2
Daya Guo,Zhenda Xie,3,主模型、代码,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2
Dejian Yang,Kai Dong,3,主模型、代码,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2
Dejian Yang,Qiushi Du,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Dejian Yang,Shirong Ma,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V2
Dejian Yang,Wenfeng Liang,3,主模型、代码,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2
Dejian Yang,Xiao Bi,3,主模型、代码,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2
Dejian Yang,Yu Wu,3,主模型、代码,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2
Dejian Yang,Yukun Li,3,主模型、代码,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2
Dejian Yang,Zhenda Xie,3,主模型、代码,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2
Dejian Yang,Zhibin Gou,3,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Deli Chen,Fuli Luo,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Deli Chen,Huazuo Gao,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Deli Chen,Jiashi Li,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Deli Chen,Wenfeng Liang,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Deli Chen,Yukun Li,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Deli Chen,Zhenda Xie,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Fuli Luo,Huazuo Gao,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Fuli Luo,Jiashi Li,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Fuli Luo,Junxiao Song,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Fuli Luo,Kai Dong,3,主模型、代码,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2
Fuli Luo,Liyue Zhang,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Fuli Luo,Qiushi Du,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Fuli Luo,Runxin Xu,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Fuli Luo,Wenjun Gao,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Fuli Luo,Xiao Bi,3,主模型、代码,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2
Fuli Luo,Zhihong Shao,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Hanwei Xu,Kai Dong,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL
Hanwei Xu,Zhenda Xie,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL
Haowei Zhang,Yu Wu,3,主模型、多模态、数学/证明,DeepSeek LLM；DeepSeek-VL2；DeepSeekMath
Haowei Zhang,Yukun Li,3,主模型、多模态、数学/证明,DeepSeek LLM；DeepSeek-VL2；DeepSeekMath
Huajian Xin,Qihao Zhu,3,数学/证明,DeepSeek-Prover；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Huajian Xin,Zhihong Shao,3,数学/证明,DeepSeek-Prover；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Huazuo Gao,Kai Dong,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Huazuo Gao,Kang Guan,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Huazuo Gao,Liang Zhao,3,多模态、系统/效率,DeepSeek-VL2；Native Sparse Attention；mHC
Huazuo Gao,Liyue Zhang,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；Insights into DeepSeek-V3
Huazuo Gao,Panpan Huang,3,主模型、系统/效率,DeepSeek LLM；DeepSeekMoE；Insights into DeepSeek-V3
Huazuo Gao,Runxin Xu,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Huazuo Gao,Shangyan Zhou,3,主模型、系统/效率,DeepSeek LLM；Insights into DeepSeek-V3；mHC
Huazuo Gao,Shirong Ma,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；Insights into DeepSeek-V3
Huazuo Gao,Xin Xie,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Huazuo Gao,Xingkai Yu,3,主模型、多模态、系统/效率,DeepSeek LLM；DeepSeek-VL2；DeepSeekMoE
Huazuo Gao,Yishi Piao,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Huazuo Gao,Yuqing Wang,3,系统/效率,Insights into DeepSeek-V3；Native Sparse Attention；mHC
Huazuo Gao,Yuxiang You,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Jiashi Li,Liyue Zhang,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；Insights into DeepSeek-V3
Jiashi Li,Panpan Huang,3,主模型、系统/效率,DeepSeek LLM；DeepSeekMoE；Insights into DeepSeek-V3
Jiashi Li,Runxin Xu,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Jiashi Li,Shangyan Zhou,3,主模型、系统/效率,DeepSeek LLM；Insights into DeepSeek-V3；mHC
Jiashi Li,Shirong Ma,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；Insights into DeepSeek-V3
Jiashi Li,Wangding Zeng,3,代码、系统/效率,DeepSeek-Coder-V2；DeepSeekMoE；mHC
Jiashi Li,Yu Wu,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Jiashi Li,Yukun Li,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Junxiao Song,Peiyi Wang,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath
Junxiao Song,Qiushi Du,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Junxiao Song,Runxin Xu,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath
Junxiao Song,Shirong Ma,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V2
Junxiao Song,Xiao Bi,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath
Junxiao Song,Yu Wu,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath
Junxiao Song,Yukun Li,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath
Junxiao Song,Zhibin Gou,3,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Kai Dong,Kang Guan,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Kai Dong,Qihao Zhu,3,主模型、代码,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2
Kai Dong,Wen Liu,3,主模型、多模态,DeepSeek LLM；DeepSeek-VL；DeepSeek-VL2
Kai Dong,Wenfeng Liang,3,主模型、代码,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2
Kai Dong,Xiao Bi,3,主模型、代码,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2
Kai Dong,Xin Xie,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Kai Dong,Yaofeng Sun,3,主模型、多模态,DeepSeek LLM；DeepSeek-VL；DeepSeek-VL2
Kai Dong,Yishi Piao,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Kai Dong,Yuxiang You,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Kang Guan,Xin Xie,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Kang Guan,Yishi Piao,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Kang Guan,Yu Wu,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Kang Guan,Yukun Li,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Kang Guan,Yuxiang You,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Kang Guan,Zhenda Xie,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Liang Zhao,Zhenda Xie,3,多模态、系统/效率,DeepSeek-VL2；Native Sparse Attention；mHC
Liyue Zhang,Panpan Huang,3,主模型、系统/效率,DeepSeek LLM；DualPath；Insights into DeepSeek-V3
Liyue Zhang,Qiushi Du,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Liyue Zhang,Shangyan Zhou,3,主模型、系统/效率,DeepSeek LLM；DualPath；Insights into DeepSeek-V3
Liyue Zhang,Wenfeng Liang,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；Insights into DeepSeek-V3
Liyue Zhang,Yuxuan Liu,3,数学/证明、系统/效率,DeepSeek-Prover-V2；DualPath；Insights into DeepSeek-V3
Liyue Zhang,Zhibin Gou,3,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Panpan Huang,Shangyan Zhou,3,主模型、系统/效率,DeepSeek LLM；DualPath；Insights into DeepSeek-V3
Panpan Huang,Wenfeng Liang,3,主模型、系统/效率,DeepSeek LLM；DeepSeekMoE；Insights into DeepSeek-V3
Peiyi Wang,Qihao Zhu,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath
Peiyi Wang,Shirong Ma,3,主模型、代码、推理/RL,DeepSeek LLM；DeepSeek-Coder-V2；Generalist Reward Modeling
Peiyi Wang,Xiao Bi,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath
Peiyi Wang,Yukun Li,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath
Peiyi Wang,Zhihong Shao,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath
Qihao Zhu,Qiushi Du,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Qihao Zhu,Runxin Xu,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath
Qihao Zhu,Shirong Ma,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V2
Qihao Zhu,Wenfeng Liang,3,主模型、代码,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2
Qihao Zhu,Zhenda Xie,3,主模型、代码,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2
Qihao Zhu,Zhibin Gou,3,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Qiushi Du,Wenjun Gao,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Qiushi Du,Zhihong Shao,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V1.5
Runxin Xu,Shirong Ma,3,主模型、代码、推理/RL,DeepSeek LLM；DeepSeek-Coder-V2；Generalist Reward Modeling
Runxin Xu,Wenfeng Liang,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Runxin Xu,Xiao Bi,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath
Runxin Xu,Zhenda Xie,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE
Runxin Xu,Zhihong Shao,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath
Shangyan Zhou,Wenfeng Liang,3,主模型、系统/效率,DeepSeek LLM；Insights into DeepSeek-V3；mHC
Shirong Ma,Wenfeng Liang,3,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；Insights into DeepSeek-V3
Shirong Ma,Wenjun Gao,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover-V2
Shirong Ma,Yu Wu,3,主模型、代码、推理/RL,DeepSeek LLM；DeepSeek-Coder-V2；Generalist Reward Modeling
Shirong Ma,Zhibin Gou,3,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V2；DeepSeekMath-V2
Wangding Zeng,Yukun Li,3,代码、系统/效率,Conditional Memory；DeepSeek-Coder-V2；DeepSeekMoE
Wen Liu,Xiaokang Chen,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Wen Liu,Xingchao Liu,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Wen Liu,Yaofeng Sun,3,主模型、多模态,DeepSeek LLM；DeepSeek-VL；DeepSeek-VL2
Wen Liu,Zhiyu Wu,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Wen Liu,Zizheng Pan,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Wenfeng Liang,Xiao Bi,3,主模型、代码,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2
Wenfeng Liang,Xingkai Yu,3,主模型、系统/效率,Conditional Memory；DeepSeek LLM；DeepSeekMoE
Wenfeng Liang,Yuqing Wang,3,系统/效率,Insights into DeepSeek-V3；Native Sparse Attention；mHC
Wenfeng Liang,Zhewen Hao,3,主模型、代码、系统/效率,Conditional Memory；DeepSeek LLM；DeepSeek-Coder-V2
Wenjun Gao,Zhibin Gou,3,代码、数学/证明,DeepSeek-Coder-V2；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2
Xiao Bi,Zhenda Xie,3,主模型、代码,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2
Xiao Bi,Zhihong Shao,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath
Xiaokang Chen,Xingchao Liu,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Xiaokang Chen,Xingkai Yu,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Xiaokang Chen,Zhenda Xie,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Xiaokang Chen,Zhiyu Wu,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Xiaokang Chen,Zizheng Pan,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Xin Xie,Yishi Piao,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Xin Xie,Yu Wu,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Xin Xie,Yukun Li,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Xin Xie,Yuxiang You,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Xin Xie,Zhenda Xie,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Xingchao Liu,Xingkai Yu,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Xingchao Liu,Zhenda Xie,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Xingchao Liu,Zhiyu Wu,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Xingchao Liu,Zizheng Pan,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Xingkai Yu,Yu Wu,3,主模型、多模态、系统/效率,DeepSeek LLM；DeepSeek-VL2；DeepSeekMoE
Xingkai Yu,Zhiyu Wu,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Xingkai Yu,Zizheng Pan,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Yaofeng Sun,Zhenda Xie,3,主模型、多模态,DeepSeek LLM；DeepSeek-VL；DeepSeek-VL2
Yishi Piao,Yu Wu,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Yishi Piao,Yukun Li,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Yishi Piao,Yuxiang You,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Yishi Piao,Zhenda Xie,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Yu Wu,Yuxiang You,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Yu Wu,Zhihong Shao,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath
Yukun Li,Yuxiang You,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Yukun Li,Zhewen Hao,3,主模型、代码、系统/效率,Conditional Memory；DeepSeek LLM；DeepSeek-Coder-V2
Yukun Li,Zhihong Shao,3,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath
Yuxiang You,Zhenda Xie,3,主模型、代码、多模态,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2
Z. Z. Ren,Zhibin Gou,3,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2；DeepSeekMath-V2
Z. Z. Ren,Zhihong Shao,3,数学/证明,DeepSeek-Prover-V1.5；DeepSeek-Prover-V2；DeepSeekMath-V2
Zhenda Xie,Zhewen Hao,3,主模型、代码、系统/效率,Conditional Memory；DeepSeek LLM；DeepSeek-Coder-V2
Zhenda Xie,Zhiyu Wu,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Zhenda Xie,Zizheng Pan,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Zhiyu Wu,Zizheng Pan,3,多模态,DeepSeek-VL2；Janus；Janus-Pro
Aixin Liu,Bingxuan Wang,2,代码、多模态,DeepSeek-Coder-V2；DeepSeek-VL2
Aixin Liu,Chong Ruan,2,代码、多模态,DeepSeek-Coder-V2；DeepSeek-VL2
Aixin Liu,Damai Dai,2,代码、多模态,DeepSeek-Coder-V2；DeepSeek-VL2
Aixin Liu,Huazuo Gao,2,代码、多模态,DeepSeek-Coder-V2；DeepSeek-VL2
Aixin Liu,Kai Dong,2,代码、多模态,DeepSeek-Coder-V2；DeepSeek-VL2
Aixin Liu,Kang Guan,2,代码、多模态,DeepSeek-Coder-V2；DeepSeek-VL2
Aixin Liu,Xin Xie,2,代码、多模态,DeepSeek-Coder-V2；DeepSeek-VL2
Aixin Liu,Yishi Piao,2,代码、多模态,DeepSeek-Coder-V2；DeepSeek-VL2
Aixin Liu,Yu Wu,2,代码、多模态,DeepSeek-Coder-V2；DeepSeek-VL2
Aixin Liu,Yukun Li,2,代码、多模态,DeepSeek-Coder-V2；DeepSeek-VL2
Aixin Liu,Yuxiang You,2,代码、多模态,DeepSeek-Coder-V2；DeepSeek-VL2
Aixin Liu,Zhenda Xie,2,代码、多模态,DeepSeek-Coder-V2；DeepSeek-VL2
Bingxuan Wang,Bo Liu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Bingxuan Wang,Chenggang Zhao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Bingxuan Wang,Daya Guo,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Bingxuan Wang,Dejian Yang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Bingxuan Wang,Deli Chen,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Bingxuan Wang,Fuli Luo,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Bingxuan Wang,Haowei Zhang,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL2
Bingxuan Wang,Haoyu Lu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Bingxuan Wang,Jiashi Li,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Bingxuan Wang,Jingxiang Sun,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Bingxuan Wang,Junxiao Song,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Bingxuan Wang,Liyue Zhang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Bingxuan Wang,Peiyi Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Bingxuan Wang,Qihao Zhu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Bingxuan Wang,Qinyu Chen,2,代码、系统/效率,Conditional Memory；DeepSeek-Coder-V2
Bingxuan Wang,Qiushi Du,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Bingxuan Wang,Runxin Xu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Bingxuan Wang,Shirong Ma,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Bingxuan Wang,Tongzheng Ren,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Bingxuan Wang,Wangding Zeng,2,代码、系统/效率,Conditional Memory；DeepSeek-Coder-V2
Bingxuan Wang,Wenjun Gao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Bingxuan Wang,Xiao Bi,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Bingxuan Wang,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Bingxuan Wang,Zhihong Shao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Bo Liu,Chengqi Deng,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Bo Liu,Daya Guo,2,主模型、数学/证明,DeepSeek LLM；DeepSeek-Prover
Bo Liu,Dejian Yang,2,主模型、数学/证明,DeepSeek LLM；DeepSeek-Prover-V1.5
Bo Liu,Fuli Luo,2,主模型、数学/证明,DeepSeek LLM；DeepSeek-Prover-V1.5
Bo Liu,Hanwei Xu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Bo Liu,Haoyu Lu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Bo Liu,Huajian Xin,2,数学/证明,DeepSeek-Prover；DeepSeek-Prover-V1.5
Bo Liu,Jingxiang Sun,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Bo Liu,Junxiao Song,2,主模型、数学/证明,DeepSeek LLM；DeepSeek-Prover-V1.5
Bo Liu,Kai Dong,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Bo Liu,Liyue Zhang,2,主模型、数学/证明,DeepSeek LLM；DeepSeek-Prover-V1.5
Bo Liu,Qiushi Du,2,主模型、数学/证明,DeepSeek LLM；DeepSeek-Prover-V1.5
Bo Liu,Tongzheng Ren,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Bo Liu,Wen Liu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Bo Liu,Wenjun Gao,2,主模型、数学/证明,DeepSeek LLM；DeepSeek-Prover-V1.5
Bo Liu,Yaofeng Sun,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Bo Liu,Zhenda Xie,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Chenggang Zhao,Daya Guo,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chenggang Zhao,Dejian Yang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chenggang Zhao,Hanwei Xu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chenggang Zhao,Junxiao Song,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chenggang Zhao,Kai Dong,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chenggang Zhao,Kang Guan,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chenggang Zhao,Peiyi Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chenggang Zhao,Qihao Zhu,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chenggang Zhao,Qiushi Du,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chenggang Zhao,Wenjun Gao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chenggang Zhao,Xiao Bi,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chenggang Zhao,Xin Xie,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chenggang Zhao,Xingkai Yu,2,主模型、系统/效率,DeepSeek LLM；DeepSeekMoE
Chenggang Zhao,Yaohui Wang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chenggang Zhao,Ying He,2,主模型、系统/效率,DeepSeek LLM；Insights into DeepSeek-V3
Chenggang Zhao,Yishi Piao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chenggang Zhao,Yuqing Wang,2,系统/效率,Insights into DeepSeek-V3；mHC
Chenggang Zhao,Yuxiang You,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chenggang Zhao,Zhewen Hao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chenggang Zhao,Zhihong Shao,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chengqi Deng,Daya Guo,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chengqi Deng,Dejian Yang,2,主模型、代码,DeepSeek LLM；DeepSeek-Coder-V2
Chengqi Deng,Haoyu Lu,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
Chengqi Deng,Jingxiang Sun,2,主模型、多模态,DeepSeek LLM；DeepSeek-VL
